"id","student_name_id","user_id","bs_leave_from","bs_leave_to","ad_leave_from","ad_leave_to","num_days","request_through","leave_type","reason","approving_authority","created_at","updated_at"
"1","355","2","2079-02-27","2079-07-30","2022-06-10","2022-11-16","153",NULL,NULL,"Exam","Janak Bhatt","2022-06-16 22:42:51","2022-08-01 20:33:12"
"2","20","2","2079-03-02","2079-03-12",NULL,NULL,"10",NULL,NULL,"College holiday","Janak Bhatt","2022-06-17 00:14:40","2022-06-17 00:14:40"
"3","4","2","2079-03-06","2079-04-20","2022-06-20","2022-08-05","5",NULL,NULL,"Ban rakshak exam","Janak Bhatt","2022-06-20 23:31:43","2022-08-01 20:33:47"
"4","4","2","2079-03-06","2079-03-09",NULL,NULL,"3",NULL,NULL,"Personal","Janak Bhatt","2022-06-21 01:49:39","2022-06-21 01:49:39"
"5","21","2","2079-03-06","2079-03-16",NULL,NULL,"10",NULL,NULL,"Ropai Sakiye Paxi Aaune","Janak Bhatt","2022-06-21 01:54:30","2022-06-21 01:54:30"
"6","77","2","2079-03-06","2079-04-01",NULL,NULL,"26",NULL,NULL,"Exam Paxi aaune","Janak Bhatt","2022-06-21 02:45:44","2022-06-21 02:45:44"
"7","81","2","2079-03-06","2079-04-01",NULL,NULL,"26",NULL,NULL,"Exam Paxi aaune","Janak Bhatt","2022-06-21 02:47:24","2022-06-21 02:47:24"
"8","78","2","2079-03-06","2079-04-01",NULL,NULL,"26",NULL,NULL,"exam paxi aune","Janak Bhatt","2022-06-21 02:48:49","2022-06-21 02:48:49"
"9","21","2","2079-03-06","2079-04-01",NULL,NULL,"26",NULL,NULL,"exam paxi aaune","Janak Bhatt","2022-06-21 02:51:28","2022-06-21 02:51:28"
"10","88","2","2079-03-06","2079-03-10",NULL,NULL,"4",NULL,NULL,"exam paxi aaune","Janak Bhatt","2022-06-21 03:06:57","2022-06-21 03:06:57"
"11","130","2","2079-03-06","2079-03-13",NULL,NULL,"7",NULL,NULL,"Babu lai Sancho xain","Janak Bhatt","2022-06-21 05:42:01","2022-06-21 05:42:01"
"13","73","2","2079-03-07","2079-03-10",NULL,NULL,"3",NULL,NULL,"Exam chale ko","Janak Bhatt","2022-06-22 03:33:06","2022-06-22 03:33:06"
"14","72","2","2079-03-07","2079-03-10",NULL,NULL,"3",NULL,NULL,"exam Chale ko","Janak Bhatt","2022-06-22 03:34:49","2022-08-08 18:52:11"
