"id","student_name_id","particular","pay_amount","pay_date","discount","due_amount","valid","followup","remarks","payment_method","received_by","user_id","status","created_at","updated_at"
"3","16","Registration Fee","500","2022-04-21","0","8000","2022-04-28",NULL,"Regestration fee","cash","janak sir","2","due","2022-04-21 20:34:19","2022-04-30 02:48:40"
"6","1","Course fee","2500","2022-04-24","0","0","-",NULL,NULL,"cash","IT Zone","2","complete","2022-04-24 19:30:04","2022-04-26 22:14:46"
"7","2","course fee","2500","2022-04-24","0","0","-",NULL,NULL,"cash","IT ZONE","2","complete","2022-04-24 19:32:23","2022-04-24 19:32:23"
"8","3","course fee","6500","2022-04-24","0","0","-",NULL,NULL,"cash","IT Zone","2","complete","2022-04-24 19:33:30","2022-04-24 19:33:30"
"9","4","course fee","9750","2022-04-24",NULL,"0","-",NULL,NULL,"cash","it zone","2","complete","2022-04-24 19:37:12","2022-04-24 19:37:12"
"10","11","course fee","2500","2022-04-24","0","0","-",NULL,NULL,"cash","it zone","2","complete","2022-04-24 19:38:47","2022-04-24 19:38:47"
"11","61","First Ins","1000","2022-04-25","0","10000","2079-02-08",NULL,NULL,"cash","IT Zone Computer","2","due","2022-04-25 23:30:28","2022-05-21 03:01:12"
"12","70","fee","11700","2022-04-25",NULL,"0","-",NULL,NULL,"cash","it zone computer","2","complete","2022-04-25 23:46:03","2022-04-25 23:46:03"
"14","76","fee","11600","2022-04-26","4000","0","-",NULL,NULL,"cash","it zone","2","complete","2022-04-26 16:01:54","2022-04-26 16:01:54"
"15","28","Fee","11500","2022-04-27",NULL,"0","-",NULL,NULL,"cash","IT Zone","2","complete","2022-04-27 17:00:09","2022-04-27 17:00:09"
"16","24","It zone","6500","2022-04-27","0","9100","2079-02-08",NULL,NULL,"cash","IT Zone Computer","2","due","2022-04-27 19:00:51","2022-05-18 20:26:45"
"18","41","Form fee received.","500","2022-04-27","0","2000","2022-03-11",NULL,NULL,"cash","IT Zone","2","due","2022-04-27 23:49:51","2022-04-27 23:49:51"
"19","41","Installment","1000","2022-04-27",NULL,"1000","2022-03-14",NULL,NULL,"cash","IT ZONE","2","due","2022-04-27 23:55:54","2022-04-27 23:55:54"
"20","41","FEE","1000","2022-04-27",NULL,"0","-",NULL,NULL,"cash","IT ZONE","2","complete","2022-04-27 23:56:36","2022-04-27 23:56:36"
"21","13","form fee","500","2021-02-25",NULL,"1500","2021-03-13",NULL,NULL,"cash","IT ZONE","2","due","2022-04-28 00:20:34","2022-04-28 00:20:34"
"22","13","fee","1500","2021-03-13",NULL,"0","-",NULL,NULL,"cash","IT ZONE","2","complete","2022-04-28 06:06:59","2022-04-28 06:06:59"
"23","54","First installment","1300","2079-01-14","0","14300","2079-01-04",NULL,NULL,"cash","it zone","2","due","2022-04-28 06:10:49","2022-04-28 06:10:49"
"24","54","Second installment","1300","2079-01-04","0","9100","2079-04-15",NULL,"4-15 gate 5000 pay garne baki 4100 ma 1000 discount garnu parne","cash","IT Zone","2","due","2022-04-28 06:12:59","2022-07-28 14:11:58"
"27","14","form fee","500","2078-11-23","0","12000","2078-11-25",NULL,NULL,"cash","IT ZONE","2","due","2022-04-28 06:35:51","2022-04-28 06:35:51"
"29","14","First Installment","4000","2078-11-25","0","8000","2079-03-19",NULL,NULL,"cash","IT Zone","2","due","2022-04-28 06:41:21","2022-07-01 23:31:24"
"30","72","Fee","6000","2079-01-14","0","8400","2079-07-30",NULL,"due amount 8400 ma 3-30 gate vitra pay garyo bhane 4000 discount garne","cash","IT Zone","2","due","2022-04-28 06:46:10","2022-08-24 17:46:26"
"34","53","fee","1000","2078-08-15",NULL,"0","-",NULL,NULL,"cash","it","2","complete","2022-04-29 00:04:10","2022-04-29 00:04:10"
"35","49","fee","9000","2078-08-15",NULL,"0","-",NULL,NULL,"cash","IT","2","complete","2022-04-29 00:06:16","2022-04-29 00:06:16"
"36","50","FEE","1000","2078-08-15",NULL,"10000","2079-02-15",NULL,NULL,"cash","IT","2","due","2022-04-29 00:10:27","2022-04-29 00:10:27"
"37","52","FEE","2000","2079-01-08","0","9000","2079-02-10",NULL,NULL,"cash","it","2","due","2022-04-29 00:17:01","2022-05-20 22:56:27"
"39","26","fee","9000","2078-08-16","3000","0","-",NULL,NULL,"cash","it","2","complete","2022-04-29 00:26:41","2022-04-29 00:26:41"
"40","62","fee","1000","2078-08-19","0","10000","2079-02-08",NULL,NULL,"cash","it","2","due","2022-04-29 00:35:07","2022-05-20 22:40:43"
"41","59","Course Fee","1000","2078-08-20","0","10000","2079-03-25",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 00:43:22","2022-05-20 05:24:47"
"43","23","Course Fee","6000","2078-09-06",NULL,"5000","2079-01-30",NULL,NULL,"cash","IT Zone","2","due","2022-04-29 00:58:44","2022-04-29 00:58:44"
